dataset,baseline,pseudobulk_r,single_cell_r,delta
adamson,lpm_gearsPertEmb,0.7484949661171476,0.2071918054832455,-0.541303160633902
adamson,lpm_k562PertEmb,0.9333607534734258,,
adamson,lpm_randomGeneEmb,0.7213650428002354,0.205047861127801,-0.5163171816724343
adamson,lpm_randomPertEmb,0.7074850803165238,0.2039095806214359,-0.5035754996950879
adamson,lpm_rpe1PertEmb,0.9302911356732187,,
adamson,lpm_scFoundationGeneEmb,0.7767397966488766,0.2569268532485005,-0.5198129434003761
adamson,lpm_scgptGeneEmb,0.8106857899549124,0.3116229340050441,-0.49906285594986827
adamson,lpm_selftrained,0.9464797475793921,0.3959725757746279,-0.5505071718047643
k562,lpm_gearsPertEmb,0.44558101380811144,0.0861011643550092,-0.35947984945310224
k562,lpm_k562PertEmb,0.6527895149414472,,
k562,lpm_randomGeneEmb,0.38824352231825815,0.0735487278260036,-0.31469479449225457
k562,lpm_randomPertEmb,0.3838204949841711,0.0736271498331605,-0.3101933451510106
k562,lpm_rpe1PertEmb,0.6022734765794371,,
k562,lpm_scFoundationGeneEmb,0.42929816485548095,0.1152338209854538,-0.31406434387002713
k562,lpm_scgptGeneEmb,0.5126570355546317,0.1941780302696166,-0.3184790052850151
k562,lpm_selftrained,0.6638055643574201,0.2619484923711699,-0.4018570719862502
rpe1,lpm_gearsPertEmb,0.6278433761328879,0.2031208699175883,-0.4247225062152996
rpe1,lpm_k562PertEmb,0.7088463767751083,,
rpe1,lpm_randomGeneEmb,0.6294591704417023,0.2026312086184751,-0.4268279618232272
rpe1,lpm_randomPertEmb,0.6285574841491146,0.2025269235510117,-0.4260305605981029
rpe1,lpm_rpe1PertEmb,0.757924159476285,,
rpe1,lpm_scFoundationGeneEmb,0.6358936109091625,0.2329680029732199,-0.4029256079359426
rpe1,lpm_scgptGeneEmb,0.667185684920003,0.3157364398189899,-0.35144924510101305
rpe1,lpm_selftrained,0.7678344348614736,0.3951254079853846,-0.37270902687608903
