dataset,baseline,pearson_r,l2,analysis_type
adamson,lpm_gearsPertEmb,0.7484949661171476,4.307142707750827,pseudobulk
adamson,lpm_k562PertEmb,0.9333607534734258,2.439876745679221,pseudobulk
adamson,lpm_randomGeneEmb,0.7213650428002354,4.344377421841744,pseudobulk
adamson,lpm_randomPertEmb,0.7074850803165238,4.536229849935625,pseudobulk
adamson,lpm_rpe1PertEmb,0.9302911356732187,2.518669811463834,pseudobulk
adamson,lpm_scFoundationGeneEmb,0.7767397966488766,3.9785465898134924,pseudobulk
adamson,lpm_scgptGeneEmb,0.8106857899549124,3.7328355844984693,pseudobulk
adamson,lpm_selftrained,0.9464797475793921,2.264891195251565,pseudobulk
k562,lpm_gearsPertEmb,0.44558101380811144,5.210170625664856,pseudobulk
k562,lpm_k562PertEmb,0.6527895149414472,4.030788557440319,pseudobulk
k562,lpm_randomGeneEmb,0.38824352231825815,5.394389297914545,pseudobulk
k562,lpm_randomPertEmb,0.3838204949841711,5.421912879530987,pseudobulk
k562,lpm_rpe1PertEmb,0.6022734765794371,4.311692329710915,pseudobulk
k562,lpm_scFoundationGeneEmb,0.42929816485548095,5.167369243932749,pseudobulk
k562,lpm_scgptGeneEmb,0.5126570355546317,4.6973528125849215,pseudobulk
k562,lpm_selftrained,0.6638055643574201,3.95680214355175,pseudobulk
rpe1,lpm_gearsPertEmb,0.6278433761328879,7.155187461097335,pseudobulk
rpe1,lpm_k562PertEmb,0.7088463767751083,5.5649453051482,pseudobulk
rpe1,lpm_randomGeneEmb,0.6294591704417023,7.22420290299817,pseudobulk
rpe1,lpm_randomPertEmb,0.6285574841491146,7.254140084319994,pseudobulk
rpe1,lpm_rpe1PertEmb,0.757924159476285,5.042797503402544,pseudobulk
rpe1,lpm_scFoundationGeneEmb,0.6358936109091625,6.858507776364112,pseudobulk
rpe1,lpm_scgptGeneEmb,0.667185684920003,6.036331512620724,pseudobulk
rpe1,lpm_selftrained,0.7678344348614736,4.940503079284062,pseudobulk
adamson,lpm_gearsPertEmb,0.2071918054832455,23.345702601885563,single_cell
adamson,lpm_randomGeneEmb,0.205047861127801,23.235910276549784,single_cell
adamson,lpm_randomPertEmb,0.2039095806214359,23.243979486046143,single_cell
adamson,lpm_scFoundationGeneEmb,0.2569268532485005,22.87199385037693,single_cell
adamson,lpm_scgptGeneEmb,0.3116229340050441,22.399241751984263,single_cell
adamson,lpm_selftrained,0.3959725757746279,21.705567762275088,single_cell
k562,lpm_gearsPertEmb,0.0861011643550092,29.303445667590648,single_cell
k562,lpm_randomGeneEmb,0.0735487278260036,29.343010229651597,single_cell
k562,lpm_randomPertEmb,0.0736271498331605,29.345805437258548,single_cell
k562,lpm_scFoundationGeneEmb,0.1152338209854538,29.122757187447977,single_cell
k562,lpm_scgptGeneEmb,0.1941780302696166,28.615477124710125,single_cell
k562,lpm_selftrained,0.2619484923711699,28.245311005838087,single_cell
rpe1,lpm_gearsPertEmb,0.2031208699175883,28.881220835553588,single_cell
rpe1,lpm_randomGeneEmb,0.2026312086184751,28.92688693626054,single_cell
rpe1,lpm_randomPertEmb,0.2025269235510117,28.931350765079124,single_cell
rpe1,lpm_scFoundationGeneEmb,0.2329680029732199,28.507655105032676,single_cell
rpe1,lpm_scgptGeneEmb,0.3157364398189899,27.592633573901523,single_cell
rpe1,lpm_selftrained,0.3951254079853846,26.904692333999307,single_cell
