dataset,baseline,mean_delta_r,max_delta_r,mean_baseline_r,mean_lsft_r
adamson,lpm_gearsPertEmb,-0.0035779693395991004,-0.0019240331489369,0.20719180548324548,0.20361383614364637
adamson,lpm_randomGeneEmb,-0.0003002502691279415,-1.8451607064551307e-05,0.20504786112780096,0.20474761085867307
adamson,lpm_randomPertEmb,-0.0444186604564921,-0.039683303180636,0.1945138705057293,0.15009521004923718
adamson,lpm_scFoundationGeneEmb,-0.015351961739651867,-0.0011538730670644,0.2569268532485005,0.24157489150884862
adamson,lpm_scgptGeneEmb,-0.008315253167114433,0.0003383835272145,0.3116229340050441,0.30330768083792964
adamson,lpm_selftrained,0.0011462693754103334,0.0012354563688981,0.3959725757746279,0.39711884515003826
k562,lpm_randomGeneEmb,6.384467532412153e-05,6.384467532412153e-05,0.0735487278260036,0.0736125725013278
k562,lpm_randomPertEmb,-0.0030897882752686,-0.0030897882752686,0.0725629835466451,0.0694731952713764
k562,lpm_scFoundationGeneEmb,0.0032843380764897,0.0032843380764897,0.1152338209854538,0.1185181590619435
k562,lpm_scgptGeneEmb,0.0037702117024083,0.0037702117024083,0.1941780302696166,0.1979482419720249
k562,lpm_selftrained,0.000480262604922,0.000480262604922,0.2619484923711699,0.262428754976092
rpe1,lpm_gearsPertEmb,-0.0004422261598824,-0.0004422261598824,0.2031208699175883,0.2026786437577059
rpe1,lpm_randomGeneEmb,3.415117576008576e-05,3.415117576008576e-05,0.2026312086184751,0.2026653597942352
rpe1,lpm_randomPertEmb,-0.0015033566432134,-0.0015033566432134,0.202426933832719,0.2009235771895056
rpe1,lpm_scFoundationGeneEmb,0.003858700491038,0.003858700491038,0.2329680029732199,0.2368267034642579
rpe1,lpm_scgptGeneEmb,0.0050808962614622,0.0050808962614622,0.3157364398189899,0.3208173360804521
rpe1,lpm_selftrained,0.0002553303605315,0.0002553303605315,0.3951254079853846,0.3953807383459161
