target	class
CHMP3	Functional_Group_1
DHODH	Functional_Group_1
DDX18	Functional_Group_1
RPP38	Functional_Group_1
PPAN	Functional_Group_1
NUP88	Functional_Group_2
TAF10	Functional_Group_2
HSF1	Functional_Group_2
PNPT1	Functional_Group_2
DBR1	Functional_Group_2
CYCS	Functional_Group_3
MTBP	Functional_Group_3
SLC7A6OS	Functional_Group_3
PSMD12	Functional_Group_3
RNASEH2C	Functional_Group_3
PSMD7	Functional_Group_4
TAF7	Functional_Group_4
THOC3	Functional_Group_4
TCERG1	Functional_Group_4
RTF1	Functional_Group_4
THAP1	Functional_Group_5
PAF1	Functional_Group_5
CDC40	Functional_Group_5
MRPL33	Functional_Group_5
RFC1	Functional_Group_5
SS18L2	Functional_Group_6
PGPEP1	Functional_Group_6
MRPS23	Functional_Group_6
RPL4	Functional_Group_6
SKA3	Functional_Group_6
SMC4	Functional_Group_7
CEBPZ	Functional_Group_7
FAM32A	Functional_Group_7
GAB2	Functional_Group_7
NCL	Functional_Group_7
POLD3	Functional_Group_8
MRPL19	Functional_Group_8
CD3EAP	Functional_Group_8
WAC	Functional_Group_8
AKIRIN2	Functional_Group_8
MPHOSPH10	Functional_Group_9
PSMC6	Functional_Group_9
PSMA3	Functional_Group_9
TSG101	Functional_Group_9
ZMAT5	Functional_Group_9
IMPDH2	Functional_Group_10
ARCN1	Functional_Group_10
HNRNPM	Functional_Group_10
RUVBL1	Functional_Group_10
PSMD2	Functional_Group_10
AAMP	Functional_Group_9
AARS	Functional_Group_10
AATF	Functional_Group_5
ABCB7	Functional_Group_7
ABCE1	Functional_Group_7
ABCF1	Functional_Group_3
ABT1	Functional_Group_2
ACTB	Functional_Group_8
ACTL6A	Functional_Group_5
ACTR6	Functional_Group_4
ACTR8	Functional_Group_3
AHCTF1	Functional_Group_5
AHCY	Functional_Group_9
ALDOA	Functional_Group_1
ALG13	Functional_Group_3
ALG2	Functional_Group_4
ALYREF	Functional_Group_5
ANAPC2	Functional_Group_5
ANAPC4	Functional_Group_4
ANKRD11	Functional_Group_4
AP2S1	Functional_Group_4
AQR	Functional_Group_5
ARGLU1	Functional_Group_3
ARIH1	Functional_Group_3
ARL2	Functional_Group_7
ARMC7	Functional_Group_10
ARPC4	Functional_Group_4
ATF4	Functional_Group_5
ATF5	Functional_Group_10
ATP1A1	Functional_Group_3
ATP6AP1	Functional_Group_5
ATP6V0B	Functional_Group_6
ATP6V0C	Functional_Group_6
ATP6V1A	Functional_Group_4
ATP6V1B2	Functional_Group_1
ATR	Functional_Group_5
ATRIP	Functional_Group_2
BANP	Functional_Group_3
BAP1	Functional_Group_10
BCAS2	Functional_Group_6
BDP1	Functional_Group_3
BGLAP	Functional_Group_1
BMS1	Functional_Group_9
BNIP1	Functional_Group_3
BOP1	Functional_Group_7
BRD8	Functional_Group_8
BRIX1	Functional_Group_5
BTF3	Functional_Group_8
BUB3	Functional_Group_8
BUD13	Functional_Group_6
